iter	Passed	Remaining
617	11634	44842
618	11652	44821
619	11670	44799
620	11689	44780
621	11708	44761
622	11727	44744
623	11746	44727
624	11765	44708
625	11784	44689
626	11802	44668
627	11820	44648
628	11839	44628
629	11858	44608
630	11876	44589
631	11894	44567
632	11913	44546
633	11931	44526
634	11950	44508
635	11968	44487
636	11986	44464
637	12005	44445
638	12022	44422
639	12040	44400
640	12059	44379
641	12076	44357
642	12096	44340
643	12115	44321
644	12133	44302
645	12152	44283
646	12170	44262
647	12190	44245
648	12208	44225
649	12227	44207
650	12248	44195
651	12267	44177
652	12285	44157
653	12304	44137
654	12322	44117
655	12341	44097
656	12360	44081
657	12378	44059
658	12397	44039
659	12415	44019
660	12435	44002
661	12453	43983
662	12472	43963
663	12491	43945
664	12509	43925
665	12528	43906
666	12547	43886
667	12566	43868
668	12584	43847
669	12602	43827
670	12620	43805
671	12640	43789
672	12659	43770
673	12677	43751
674	12696	43731
675	12714	43710
676	12733	43693
677	12752	43676
678	12771	43657
679	12790	43636
680	12809	43619
681	12828	43601
682	12847	43582
683	12865	43563
684	12884	43543
685	12903	43525
686	12921	43505
687	12939	43482
688	12958	43464
689	12977	43445
690	12996	43428
691	13015	43408
692	13033	43389
693	13052	43368
694	13070	43348
695	13089	43330
696	13108	43311
697	13127	43294
698	13145	43273
699	13164	43254
700	13184	43238
701	13202	43219
702	13221	43201
703	13243	43191
704	13262	43173
705	13282	43157
706	13301	43139
707	13319	43119
708	13339	43103
709	13357	43082
710	13375	43061
711	13394	43042
712	13412	43021
713	13431	43004
714	13451	42987
715	13469	42967
716	13487	42945
717	13505	42925
718	13524	42906
719	13542	42885
720	13561	42866
721	13579	42846
722	13598	42827
723	13618	42811
724	13639	42798
725	13659	42783
726	13677	42764
727	13697	42747
728	13717	42731
729	13737	42718
730	13757	42702
731	13776	42683
732	13795	42664
733	13813	42644
734	13832	42625
735	13851	42608
736	13869	42587
737	13888	42567
738	13906	42547
739	13924	42526
740	13942	42505
741	13960	42483
742	13978	42463
743	13996	42441
744	14014	42420
745	14033	42401
746	14052	42383
747	14071	42365
748	14090	42346
749	14108	42326
750	14128	42309
751	14146	42288
752	14163	42266
753	14182	42246
754	14201	42227
755	14219	42206
756	14240	42193
757	14258	42175
758	14277	42156
759	14295	42135
760	14313	42114
761	14332	42095
762	14351	42074
763	14369	42055
764	14388	42036
765	14406	42016
766	14425	41997
767	14446	41985
768	14471	41985
769	14491	41967
770	14508	41945
771	14526	41925
772	14545	41904
773	14564	41886
774	14582	41867
775	14601	41847
776	14619	41825
777	14638	41807
778	14656	41786
779	14675	41767
780	14700	41767
781	14725	41767
782	14753	41773
783	14778	41771
784	14802	41768
785	14829	41772
786	14849	41755
787	14868	41736
788	14886	41714
789	14904	41694
790	14922	41674
791	14941	41654
792	14959	41634
793	14977	41613
794	14995	41592
795	15014	41572
796	15031	41549
797	15049	41528
798	15068	41508
799	15086	41488
800	15104	41467
801	15123	41448
802	15141	41427
803	15160	41408
804	15178	41387
805	15196	41366
806	15214	41345
807	15234	41329
808	15252	41308
809	15270	41287
810	15289	41268
811	15307	41248
812	15326	41228
813	15344	41206
814	15361	41184
815	15380	41165
816	15398	41144
817	15418	41127
818	15435	41105
819	15454	41086
820	15472	41065
821	15491	41047
822	15509	41026
823	15528	41007
824	15546	40986
825	15565	40966
826	15583	40946
827	15601	40925
828	15619	40905
829	15637	40884
830	15656	40864
831	15674	40844
832	15693	40824
833	15712	40806
834	15731	40787
835	15749	40767
836	15767	40747
837	15786	40727
838	15804	40708
839	15823	40689
840	15842	40669
841	15860	40650
842	15878	40629
843	15897	40609
844	15915	40589
845	15933	40567
846	15951	40547
847	15969	40527
848	15988	40508
849	16006	40486
850	16024	40466
851	16042	40446
852	16061	40427
853	16080	40408
854	16098	40387
855	16117	40369
856	16137	40352
857	16156	40333
858	16175	40315
859	16193	40295
860	16212	40276
861	16231	40258
862	16250	40239
863	16268	40218
